class_name,sfiles_alias,is_primary,family,category,symbol_id,nozzle_count,display_name
Agglomerator,agglomerator,False,,TREATMENT,PD837Z,2,Agglomerator
Agitator,agitator,True,,REACTION,PP017A_Origo,4,Agitator
AgitatorRotor,agitator_rotor,False,,ROTATING,PP614Z,2,Agitator Rotor
AirCoolingSystem,air_cooling_system,False,,HEAT_TRANSFER,PE199Z,4,Air Cooling System
AirEjector,air_ejector,False,,CUSTOM,PX204Z,2,Air Ejector
AlternatingCurrentGenerator,generator_alternating_current_generator,False,generator,ROTATING,PP972Z,2,Alternating Current Generator
AlternatingCurrentMotor,motor_alternating_current,False,motor,ROTATING,PP436Z,2,Alternating Current Motor
AlternatingCurrentMotorAsComponent,alternating_current_motor_as_component,False,,ROTATING,PP048Z,2,Alternating Current Motor As Component
AxialBlower,blower_axial,False,blower,ROTATING,PP146Z,2,Axial Blower
AxialCompressor,compressor_axial,False,compressor,ROTATING,PP113Z,2,Axial Compressor
AxialFan,fan_axial,False,fan,ROTATING,PP743Z,2,Axial Fan
BatchWeigher,weigher_batch,False,weigher,TREATMENT,PD116Z,2,Batch Weigher
Blower,blower,True,blower,ROTATING,PP007A_Origo,2,Blower
Boiler,boiler,False,,HEAT_TRANSFER,PE736Z,4,Boiler
BriquettingRoller,briquetting_roller,False,,TREATMENT,PD155Z,2,Briquetting Roller
Burner,burner,False,,HEAT_TRANSFER,PE026A_Origo,4,Burner
CentrifugalBlower,blower_centrifugal,False,blower,ROTATING,PP647Z,2,Centrifugal Blower
CentrifugalCompressor,compressor_centrifugal,False,compressor,ROTATING,PP011A_Origo,2,Centrifugal Compressor
CentrifugalPump,pump,True,pump,ROTATING,PP001A,2,Centrifugal Pump
Centrifuge,centrifuge,True,centrifuge,SEPARATION,PE030A,2,Centrifuge
Chamber,chamber,False,,STORAGE,PT133Z,4,Chamber
ChamberOwner,chamber_owner,False,,STORAGE,PT709Z,4,Chamber Owner
Chimney,chimney,False,,TREATMENT,PD117Z,2,Chimney
ColumnInternalsArrangement,column_internals_arrangement,False,,SEPARATION,PS250Z,3,Column Internals Arrangement
ColumnPackingsArrangement,column_packings_arrangement,False,,SEPARATION,PS772Z,3,Column Packings Arrangement
ColumnSection,column_section,False,,SEPARATION,PS930Z,3,Column Section
ColumnTraysArrangement,column_trays_arrangement,False,,SEPARATION,PS958Z,3,Column Trays Arrangement
CombustionEngine,combustion_engine,False,,ROTATING,PP998Z,2,Combustion Engine
CombustionEngineAsComponent,combustion_engine_as_component,False,,ROTATING,PP378Z,2,Combustion Engine As Component
Compressor,compressor,True,compressor,ROTATING,PP074Z,2,Compressor
ContinuousWeigher,weigher_continuous,False,weigher,TREATMENT,PD356Z,2,Continuous Weigher
ConvectionDryer,dryer_convection,False,dryer,TREATMENT,PD217Z,2,Convection Dryer
Conveyor,conveyor,False,,TRANSPORT,PM989Z,2,Conveyor
CoolingTower,cooling_tower,False,cooling_tower,HEAT_TRANSFER,PE507Z,4,Cooling Tower
