class_name,sfiles_alias,is_primary,family,category,symbol_id,connection_count,display_name
AngleBallValve,angle_ball_valve,False,ball_valve,VALVE,PL642Z,2,Angle Ball Valve
AngleGlobeValve,angle_globe_valve,False,globe_valve,VALVE,PL661Z,2,Angle Globe Valve
AnglePlugValve,angle_plug_valve,False,plug_valve,VALVE,PL861Z,2,Angle Plug Valve
AngleValve,angle_valve,False,,VALVE,PL304Z,2,Angle Valve
BallValve,ball_valve,True,ball_valve,VALVE,PL433Z,2,Ball Valve
BlindFlange,blind_flange,False,,CONNECTION,PL215Z,2,Blind Flange
BreatherValve,breather_valve,False,,VALVE,PL493Z,2,Breather Valve
ButterflyValve,butterfly_valve,False,,VALVE,PL416Z,2,Butterfly Valve
CheckValve,check_valve,True,check_valve,VALVE,PL111Z,2,Check Valve
ClampedFlangeCoupling,clamped_flange_coupling,False,,CONNECTION,PL616Z,2,Clamped Flange Coupling
Compensator,compensator,False,,OTHER_PIPING,PL109Z,2,Compensator
ConicalStrainer,conical_strainer,False,,FILTRATION,PL338Z,2,Conical Strainer
CustomCheckValve,custom_check_valve,False,check_valve,VALVE,PL356Z,2,Custom Check Valve
CustomInlinePrimaryElement,custom_inline_primary_element,False,,OTHER_PIPING,PL168Z,2,Custom Inline Primary Element
CustomOperatedValve,custom_operated_valve,False,operated_valve,VALVE,PL876Z,2,Custom Operated Valve
CustomPipeFitting,custom_pipe_fitting,False,,PIPE,PL543Z,2,Custom Pipe Fitting
CustomPipingComponent,custom_piping_component,False,,OTHER_PIPING,PL134Z,2,Custom Piping Component
CustomSafetyValveOrFitting,custom_safety_valve_or_fitting,False,safety_valve,VALVE,PL391Z,2,Custom Safety Valve Or Fitting
DirectPipingConnection,direct_piping_connection,False,,CONNECTION,PL033Z,2,Direct Piping Connection
ElectromagneticFlowMeter,electromagnetic_flow_meter,False,,FLOW_MEASUREMENT,PL228Z,2,Electromagnetic Flow Meter
FlameArrestor,flame_arrestor,False,,SAFETY,PL027Z,2,Flame Arrestor
Flange,flange,False,,CONNECTION,PL733Z,2,Flange
FlangedConnection,flanged_connection,False,,CONNECTION,PL930Z,2,Flanged Connection
FlowInPipeOffPageConnector,flow_in_pipe_off_page_connector,False,,PIPE,PL882Z,2,Flow In Pipe Off Page Connector
FlowMeasuringElement,flow_measuring_element,False,,FLOW_MEASUREMENT,PL047Z,2,Flow Measuring Element
FlowNozzle,flow_nozzle,False,,FLOW_MEASUREMENT,PL128Z,2,Flow Nozzle
FlowOutPipeOffPageConnector,flow_out_pipe_off_page_connector,False,,PIPE,PL220Z,2,Flow Out Pipe Off Page Connector
Funnel,funnel,False,,OTHER_PIPING,PL751Z,2,Funnel
GateValve,gate_valve,False,,VALVE,PL849Z,2,Gate Valve
GlobeCheckValve,globe_check_valve,False,globe_valve,VALVE,PL514Z,2,Globe Check Valve
GlobeValve,globe_valve,True,globe_valve,VALVE,PL365Z,2,Globe Valve
Hose,hose,False,,OTHER_PIPING,PL995Z,2,Hose
IlluminatedSightGlass,illuminated_sight_glass,False,,OTHER_PIPING,PL760Z,2,Illuminated Sight Glass
InLineMixer,in_line_mixer,False,,OTHER_PIPING,PL456Z,2,In Line Mixer
InlinePrimaryElement,inline_primary_element,False,,OTHER_PIPING,PL202Z,2,Inline Primary Element
LineBlind,line_blind,False,,OTHER_PIPING,PL920Z,2,Line Blind
MassFlowMeasuringElement,mass_flow_measuring_element,False,,FLOW_MEASUREMENT,PL836Z,2,Mass Flow Measuring Element
NeedleValve,needle_valve,False,,VALVE,PL023Z,2,Needle Valve
